iter	MultiClass
0	1.280426181
1	1.20631876
2	1.140592709
3	1.085819411
4	1.042108508
5	1.001401126
6	0.9626480727
7	0.9285007283
8	0.9004853886
9	0.8777047958
10	0.8546962061
11	0.8319415254
12	0.8120889554
13	0.7928949624
14	0.7782328641
15	0.7622502463
16	0.7477614757
17	0.7356292954
18	0.7233782817
19	0.7107003714
20	0.7023774613
21	0.6908572665
22	0.6810819602
23	0.6700040104
24	0.6573925886
25	0.6484185935
26	0.6360722902
27	0.6258552645
28	0.6158717713
29	0.6069607284
30	0.6004005909
31	0.5935357191
32	0.5860250411
33	0.5801261565
34	0.5743713382
35	0.568188651
36	0.5624232002
37	0.5557074164
38	0.5493182968
39	0.5438451078
40	0.5393242981
41	0.5330254769
42	0.5285168366
43	0.524313903
44	0.5193855989
45	0.5154331843
46	0.5094477427
47	0.5046255874
48	0.4997162691
49	0.4954040247
50	0.491118552
51	0.485539987
52	0.4811951207
53	0.4769338339
54	0.4721504541
55	0.4674550804
56	0.4627835833
57	0.4590460265
58	0.4545898282
59	0.4500297492
60	0.445637043
61	0.4429177331
62	0.4385460922
63	0.4344441896
64	0.4306379797
65	0.4268164351
66	0.4225080094
67	0.4187794109
68	0.4161854152
69	0.4132204088
70	0.4105247165
71	0.4070411613
72	0.4033533816
73	0.4006356756
74	0.3973558334
75	0.393431436
76	0.3908847087
77	0.3887372531
78	0.3865893978
79	0.3837924197
80	0.3807082358
81	0.3779117811
82	0.3742737044
83	0.3716769383
84	0.368239215
85	0.3664707813
86	0.3643161455
87	0.3614081319
88	0.358821625
89	0.3562432179
90	0.3546744563
91	0.3518980923
92	0.3493900658
93	0.3464591995
94	0.3437636941
95	0.3415421821
96	0.3390280095
97	0.3358616135
98	0.3340431939
99	0.3317524554
