iter	Passed	Remaining
0	141	14014
1	144	7093
2	147	4783
3	150	3615
4	152	2901
5	154	2423
6	156	2081
7	158	1823
8	160	1624
9	162	1461
10	164	1331
11	166	1221
12	168	1127
13	170	1049
14	172	979
15	174	917
16	176	862
17	178	814
18	180	770
19	182	731
20	184	694
21	186	661
22	188	631
23	190	602
24	192	576
25	193	551
26	195	528
27	197	507
28	199	487
29	200	468
30	203	452
31	204	435
32	206	419
33	208	404
34	210	391
35	212	377
36	214	365
37	216	353
38	218	341
39	220	330
40	222	319
41	223	309
42	225	299
43	227	290
44	229	280
45	231	271
46	233	262
47	234	254
48	236	246
49	238	238
50	240	230
51	241	223
52	243	215
53	245	208
54	247	202
55	248	195
56	250	188
57	251	182
58	253	176
59	255	170
60	257	164
61	258	158
62	260	152
63	262	147
64	263	141
65	265	136
66	266	131
67	268	126
68	270	121
69	271	116
70	273	111
71	275	107
72	277	102
73	279	98
74	280	93
75	282	89
76	284	85
77	286	80
78	288	76
79	289	72
80	291	68
81	293	64
82	295	60
83	297	56
84	298	52
85	300	48
86	302	45
87	303	41
88	305	37
89	307	34
90	308	30
91	310	27
92	312	23
93	313	20
94	315	16
95	317	13
96	319	9
97	320	6
98	322	3
99	324	0
