iter	MultiClass
0	1.030953795
1	0.9742962215
2	0.9295954221
3	0.8941741324
4	0.8648024407
5	0.8370537345
6	0.8149770999
7	0.7945656835
8	0.7777938352
9	0.763568594
10	0.7489168051
11	0.7352526288
12	0.7225032385
13	0.7113717147
14	0.7017811597
15	0.6928932306
16	0.6826789217
17	0.6743072026
18	0.6671159542
19	0.6605527715
20	0.6526271556
21	0.6482513633
22	0.6417890004
23	0.6365404691
24	0.6326913861
25	0.6280545697
26	0.6240712786
27	0.619689285
28	0.6167341745
29	0.6128348417
30	0.6095357494
31	0.6065354404
32	0.6034241458
33	0.600696812
34	0.5979095081
35	0.5947732275
36	0.5921108173
37	0.5897127083
38	0.5865418048
39	0.5846129556
40	0.5808615391
41	0.5786044881
42	0.5754079453
43	0.5728173426
44	0.5698064191
45	0.5675577227
46	0.5653487424
47	0.5631788847
48	0.5612442754
49	0.5587009681
50	0.5564879445
51	0.5547388255
52	0.5519363536
53	0.5508807682
54	0.549074944
55	0.5463882168
56	0.5447513338
57	0.5425190302
58	0.5408253973
59	0.5394259266
60	0.536979714
61	0.5353873328
62	0.5328296468
63	0.5312177234
64	0.5295109411
65	0.5284097482
66	0.5275830037
67	0.526189143
68	0.5249713612
69	0.521885037
70	0.5203588525
71	0.5189991626
72	0.5180730623
73	0.5170101051
74	0.5148969673
75	0.5125258552
76	0.5114839245
77	0.510004549
78	0.5086536643
79	0.5070785724
80	0.5059604994
81	0.5046673616
82	0.5027400457
83	0.5016572234
84	0.5007559218
85	0.499021249
86	0.4979103959
87	0.4962020819
88	0.493547036
89	0.4916551936
90	0.4904676542
91	0.4887030136
92	0.4870034637
93	0.4852675136
94	0.4839903503
95	0.4823458211
96	0.4811953156
97	0.4802915479
98	0.4795388828
99	0.4781211202
