iter	Passed	Remaining
0	144	14301
1	148	7259
2	151	4900
3	155	3724
4	159	3026
5	163	2555
6	166	2213
7	170	1958
8	173	1759
9	177	1595
10	180	1462
11	184	1349
12	187	1256
13	191	1174
14	194	1104
15	198	1042
16	202	986
17	205	937
18	209	892
19	212	851
20	216	814
21	219	778
22	223	746
23	226	716
24	229	689
25	232	662
26	236	638
27	239	615
28	242	593
29	245	573
30	249	554
31	252	536
32	255	518
33	259	503
34	262	486
35	265	471
36	268	457
37	272	444
38	275	431
39	278	418
40	282	406
41	285	394
42	289	383
43	292	371
44	295	361
45	299	351
46	302	341
47	305	331
48	309	321
49	312	312
50	316	303
51	319	294
52	322	286
53	326	277
54	329	269
55	332	261
56	335	253
57	339	245
58	342	237
59	345	230
60	348	222
61	351	215
62	355	208
63	358	201
64	362	195
65	365	188
66	368	181
67	371	175
68	375	168
69	378	162
70	382	156
71	385	149
72	388	143
73	391	137
74	394	131
75	398	125
76	401	119
77	404	114
78	408	108
79	411	102
80	414	97
81	418	91
82	421	86
83	425	80
84	428	75
85	432	70
86	435	65
87	439	59
88	442	54
89	446	49
90	449	44
91	452	39
92	456	34
93	460	29
94	463	24
95	467	19
96	470	14
97	473	9
98	476	4
99	480	0
